economy,series,YR2016,YR2017,YR2018,YR2019,YR2020
ARB,AG.LND.IRIG.AG.ZS,,,,,
ARB,EG.ELC.ACCS.ZS,89.195062354407,90.3246594905463,88.9107494038454,89.9999455504114,90.2777350826821
ARB,NV.AGR.TOTL.ZS,5.27708078370591,4.75881741907078,4.44836053481725,4.65301067858341,5.58699500239283
ARB,SP.URB.TOTL,235741356.0,241572841.0,247404481.0,253306244.0,259344908.0
ARB,SP.URB.TOTL.IN.ZS,58.3456269803009,58.6423223529406,58.9265950528938,59.2016459579233,59.4717656085526
BGD,AG.LND.IRIG.AG.ZS,59.7114923413757,60.158936274195,,,
BGD,EG.ELC.ACCS.ZS,75.9199981689453,88.0,91.8000030517578,92.1999969482422,96.1999969482422
BGD,NV.AGR.TOTL.ZS,14.0455462197579,13.4134659962126,13.0743126586412,12.6802755700275,12.91707789825
BGD,SP.URB.TOTL,55423124.0,57259998.0,59115518.0,60987421.0,62873466.0
BGD,SP.URB.TOTL.IN.ZS,35.083,35.858,36.632,37.405,38.177
BRA,AG.LND.IRIG.AG.ZS,,2.91413407542935,,,
BRA,EG.ELC.ACCS.ZS,99.6999969482422,99.8000030517578,99.6999969482422,99.8000030517578,100.0
BRA,NV.AGR.TOTL.ZS,4.89135358685971,4.60059169575972,4.42039930378329,4.40176323545758,5.90556934538527
BRA,SP.URB.TOTL,177386817.0,179379296.0,181335496.0,183241634.0,185081854.0
BRA,SP.URB.TOTL.IN.ZS,86.042,86.309,86.569,86.824,87.073
CHN,AG.LND.IRIG.AG.ZS,,,,,
CHN,EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0
CHN,NV.AGR.TOTL.ZS,8.0572875346436,7.46356501656873,7.04302025319625,7.14369124773749,7.65306654755744
CHN,SP.URB.TOTL,787376534.0,809246214.0,829760595.0,848982855.0,866705688.0
CHN,SP.URB.TOTL.IN.ZS,56.736,57.96,59.152,60.308,61.428
FRA,AG.LND.IRIG.AG.ZS,,,,,
FRA,EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0
FRA,NV.AGR.TOTL.ZS,1.43711486668854,1.54241477388973,1.64887661606241,1.52245926892254,1.59684045057016
FRA,SP.URB.TOTL,53323902.0,53654868.0,53979477.0,54275936.0,54560881.0
FRA,SP.URB.TOTL.IN.ZS,79.917,80.18,80.444,80.709,80.975
GBR,AG.LND.IRIG.AG.ZS,,,0.413905093911878,,
GBR,EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0
GBR,NV.AGR.TOTL.ZS,0.566834503763194,0.593378706173113,0.576624141134484,0.611985280782944,0.58179561339858
GBR,SP.URB.TOTL,54382825.0,54923317.0,55426598.0,55909924.0,56395647.0
GBR,SP.URB.TOTL.IN.ZS,82.886,83.143,83.398,83.652,83.903
IND,AG.LND.IRIG.AG.ZS,,,,,
IND,EG.ELC.ACCS.ZS,89.2177963256836,92.1249465942383,95.6999969482422,97.3082656860352,99.0
IND,NV.AGR.TOTL.ZS,16.3638005613732,16.5583314047028,15.9701574808987,16.677462397153,18.3155241249114
IND,SP.URB.TOTL,439501314.0,449795398.0,460304169.0,471031529.0,481980332.0
IND,SP.URB.TOTL.IN.ZS,33.182,33.6,34.03,34.472,34.926
ISR,AG.LND.IRIG.AG.ZS,39.2669172932331,33.5313001605136,33.5151612385689,,
ISR,EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0
ISR,NV.AGR.TOTL.ZS,1.24112898113092,1.20730222550317,1.19104972505133,1.13233065107429,1.15367926814537
ISR,SP.URB.TOTL,7884198.0,8045513.0,8209306.0,8375041.0,8531985.0
ISR,SP.URB.TOTL.IN.ZS,92.256,92.336,92.418,92.501,92.587
JPN,AG.LND.IRIG.AG.ZS,,,,,
JPN,EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0
JPN,NV.AGR.TOTL.ZS,1.12498130848332,1.12844054943922,1.04669342972253,1.00706081063023,
JPN,SP.URB.TOTL,116145370.0,116053379.0,115920900.0,115782416.0,115494817.0
JPN,SP.URB.TOTL.IN.ZS,91.457,91.535,91.616,91.698,91.782
USA,AG.LND.IRIG.AG.ZS,,5.78551729401439,,,
USA,EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0
USA,NV.AGR.TOTL.ZS,0.943988879824681,0.949806072359055,0.920560058150837,0.916865221067299,
USA,SP.URB.TOTL,264473000.0,266788716.0,268844029.0,270737596.0,274032053.0
USA,SP.URB.TOTL.IN.ZS,81.862,82.058,82.256,82.459,82.664
